mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.844116497039795,0.44665963393034497,0.017709636688232423,0.0018757601104001423,0.01,3,50,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50}",-1724386936704.5984,-1692896391923.743,-1835000441497.1902,-1927432626703.618,-1638760522316.635,-1763695383829.157,103981408765.69417,27
0.9855875492095947,0.03589517948511397,0.0258023738861084,0.0024959623667803426,0.01,3,100,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",-1491300390300.956,-1448720208837.306,-1583625935993.0627,-1661470437129.5117,-1399562260426.3718,-1516935846537.4417,94260197823.97842,25
1.6786221981048584,0.02561381851260185,0.03999361991882324,0.0018912989471315082,0.01,3,200,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200}",-1275631164179.3938,-1249153044292.6738,-1364890835004.6965,-1437129515960.4907,-1198423425723.3809,-1305045597032.127,85305436959.01234,23
0.7835757732391357,0.016577350520648144,0.02451024055480957,0.0019483252509732562,0.01,5,50,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 50}",-1529801076397.6855,-1512880126898.5251,-1595006367568.9248,-1722138483063.683,-1475853606965.3015,-1567135932178.824,86570894310.78613,26
1.3032832145690918,0.016996472772726,0.036960697174072264,0.001565515842116396,0.01,5,100,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100}",-1223451040311.884,-1201017489710.0925,-1219693388861.0808,-1367572796881.7192,-1186471934976.991,-1239641330148.3538,65338031283.8218,22
2.3077017784118654,0.022186478762163713,0.062408733367919925,0.003324015564934131,0.01,5,200,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200}",-977463403064.1875,-956552059530.4249,-962088280996.2251,-1093886157408.0814,-940552805683.4044,-986108541336.4646,55166360250.21546,19
0.9859862804412842,0.02172524680177341,0.02950320243835449,0.004077246412015356,0.01,7,50,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 50}",-1354056754567.185,-1373821534444.4487,-1421786313474.22,-1553937863017.9631,-1328920214650.0151,-1406504536030.7664,79760132805.305,24
1.6944054126739503,0.030136316171062667,0.04960508346557617,0.0005874681279064793,0.01,7,100,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100}",-970925527126.6937,-991131517635.9727,-992931694689.5049,-1125579104563.047,-949118299356.1261,-1005937228674.2689,61897885963.707634,20
3.133879232406616,0.06680287084178281,0.08801078796386719,0.0028654900367081487,0.01,7,200,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200}",-686097105176.9639,-718071510660.8894,-677388800886.881,-812183538614.4688,-682122838205.338,-715172758708.9082,50566416766.59111,12
0.5907906532287598,0.0024215731527997284,0.01733407974243164,0.0020395701571321563,0.1,3,50,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50}",-1045311925353.7399,-1056047294928.8667,-1158679436712.3303,-1180712409280.1848,-1006907128987.1583,-1089531639052.4558,67821449151.49874,21
0.9341494560241699,0.021009302606003564,0.023224020004272462,0.0023175816701241844,0.1,3,100,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",-922967550343.9791,-935247366415.5859,-954712735899.8903,-1058250578786.2281,-931573040607.1464,-960550254410.5658,49943577587.36218,18
1.6510027408599854,0.07528370431803277,0.04300003051757813,0.0037077217319649246,0.1,3,200,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}",-824332557332.3312,-852777601755.0753,-863871571451.7135,-963646105465.2272,-854441567324.2833,-871813880665.7261,47780521216.00358,16
0.8455343246459961,0.04635232074757768,0.026205730438232423,0.0012895132087083002,0.1,5,50,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 50}",-710865012548.195,-737378564124.4233,-733882411162.6763,-833770996317.5995,-717382353743.862,-746655867579.3512,44668107458.10237,13
1.3368099212646485,0.029574153910379493,0.04000864028930664,0.00544214438255636,0.1,5,100,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100}",-576091914582.276,-626128256807.5088,-604210719824.1145,-709006779828.4031,-593366274013.7264,-621760789011.2058,46542103928.9058,11
2.0875972270965577,0.022307567712073425,0.064508056640625,0.0031184614852079132,0.1,5,200,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200}",-483253849063.02264,-515331893160.284,-461274028890.6003,-556543331105.7233,-478843443293.71405,-499049309102.6688,33631623439.06359,9
0.9239181041717529,0.019141750694269478,0.03101820945739746,0.0014045102177549138,0.1,7,50,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 50}",-468651915614.9853,-506503908054.9788,-437479643361.44073,-555517403549.7711,-456459164611.06445,-484922407038.44806,41892996084.10357,7
1.5320308685302735,0.063274124052243,0.04990577697753906,0.004945642954696835,0.1,7,100,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100}",-386817326601.25793,-409741016764.7146,-358940533942.32007,-450627997463.87054,-365446147695.6207,-394314604493.55676,33316945431.540504,6
2.966410207748413,0.5470421392027709,0.09391551017761231,0.008687367341476255,0.1,7,200,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}",-294047674169.0692,-326400234353.4823,-256166282874.8499,-346594422963.96655,-282505088176.9169,-301142740507.6569,32013685278.103474,3
0.5831362724304199,0.011684497675317033,0.015263938903808593,0.0017341592804312462,0.2,3,50,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 50}",-893370878089.4451,-935974201955.1665,-963725248230.0709,-1072796292574.4385,-902595409150.2904,-953692405999.8822,64575410631.98537,17
0.9094542503356934,0.009035830006044437,0.02291073799133301,0.002429548968378933,0.2,3,100,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 100}",-815203432250.2742,-840902473049.6616,-851612202263.8688,-975280927179.105,-824372777656.6313,-861474362479.9082,58292238914.291245,15
1.5982681274414063,0.04830765560859098,0.04182024002075195,0.0027671113022105817,0.2,3,200,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 200}",-717500633101.6418,-741921360364.5458,-748989085861.9749,-866155619709.4597,-740342707115.0565,-762981881230.5358,52659738527.80436,14
0.6999385833740235,0.011261343120883756,0.023627758026123047,0.0024607973069392525,0.2,5,50,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 50}",-575539738736.0756,-604922825194.9823,-595219642844.6061,-676725572730.8102,-595323887625.3372,-609546333426.3623,34923938872.663925,10
1.1468430042266846,0.046749036976030514,0.03680610656738281,0.002691836807495105,0.2,5,100,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 100}",-480578267642.6203,-501928977786.43005,-452114812841.72375,-552388652265.5745,-474215029579.98376,-492245148023.2664,34007830663.259094,8
2.2738088607788085,0.061922555036138714,0.07070813179016114,0.004722701220370321,0.2,5,200,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 200}",-381439151060.7802,-402725351107.1369,-342851537163.1502,-436008408087.2806,-359662391489.208,-384537367781.51117,32699059908.03198,4
1.2706683158874512,0.6414903774352465,0.046685981750488284,0.033574372944016516,0.2,7,50,"{'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 50}",-367855262230.9535,-406595559076.2444,-353807962757.97906,-429538266100.29846,-381444940925.03125,-387848398218.1014,27162408297.114048,5
1.5995585918426514,0.04689878361653532,0.05520687103271484,0.005008563936835543,0.2,7,100,"{'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 100}",-279630029097.331,-319818854495.8618,-259343332280.60117,-339632611465.86334,-289907619634.8582,-297666489394.90314,28656800283.589287,2
2.8667814254760744,0.03892136037676824,0.10051274299621582,0.0043792002416306415,0.2,7,200,"{'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 200}",-194709328440.1089,-200784995523.44708,-168246074601.52133,-247383448065.23004,-201003116697.73267,-202425392665.608,25509621508.310616,1
